ROMANIZED_WORD,SCORE
khushanaseeb,3
khushnaseeb,3
badanaseeb,-3
badnaseeb,-3
grhaheen,-2
khushaboodaar,2
khushboodar,2
khusbudar,2
durgandhayukt,-2
asanyojit,-1
mushkil,-2
muskil,-2
mitrataapoorn,3
phaladaayee,4
phaldayi,4
phaldayee,4
faldayee,4
faldayi,4
phalaheen,-3
viphal,-4
beaulaad,-3
bharapoor,2
khaalee,-1
khali,-1
khaali,-1
svasthata,2
swasth,2
khilaaph,-2
khilaaf,-2
bhala,2
dushsheel,-3
beqadr,-2
faulaadee,3
anaupcharik,-2
mrut,-4
acha,2
achha,2
achcha,2
badiya,3
badhiya,3
badhia,3
badia,3
saubhagyashali,4
saubhagya,4
khushkismat,4
naseebwala,3
bhagyavaan,3
bhagyawaan,3
bhagyashali,3
,
durbhagyashali,-3
abhaga,-3
bhagyaheen,-3
bhagyahin,-3
manhoos,-4
manhus,-4
badkismat,-3
mandbhagya,-3
beghar,-2
sughandhit,3
sughandh,3
khusboodar,3
badbudar,-3
badboodar,-3
durgandhit,-3
durgand,-3
durgandh,-3
taaza,1
baasi,-2
baansi,-2
baans,-2
kathinai,-2
kathin,-2
aphal,-3
afal,-3
asaphal,-3
asafal,-3
nakamyaab,-3
nakam,-2
nakaam,-2
niphal,-2
tandurust,2
tandurusti,2
durgudi,-3
durguni,-3
aguni,-3
apguni,-3
khota,-3
virudh,-2
virodhi,-3
sajjan,2
shareef,2
sharif,2
sadguni,2
nek,2
kubudhi,-3
dushil,-3
badmijaz,-3
nikama,-4
nikamma,-4
nithala,-4
bekaar,-3
bekar,-3
faltu,-2
faltoo,-2
kator,-2
kathor,-2
kathorhrudya,-3
kathorridya,-3
nasheela,-2
nashedar,-3
nashedaar,-3
haanikarak,-3
hanikarak,-3
nuksan,-3
nuksaan,-3
nuksandeh,-3
nuksandayi,-3
anarth,-3
anarthkari,-3
apman,-3
apmaan,-3
apnmanjanak,-3
svasth,2
swastha,2
nirog,2
changa,3
kathorhridya,-3
kathorhriday,-3
krupa,2
daya,2
dayapurvak,2
sidhantiya,2
sidhantvadi,2
naraazgi,-3
naraaz,-3
naraz,-3
naaraz,-3
narazgi,-3
narazgipurvak,-3
nakhushi,-3
nakhush,-3
hatya,-4
katal,-5
katl,-5
thokar,-3
thukrana,-2
thukra,-3
sangharsh,-2
vrudhi,2
jeetna,3
jeet,3
vijay,3
har,-3
harna,-2
girna,-2
nasht,-3
naash,-4
ujaad,-3
ujaadna,-3
ujadna,-3
marna,-4
maarna,-4
pitai,-3
todna,-3
khushboo,2
khusbhbu,2
khush,3
jalana,-3
jalaana,-3
jalan,-3
prem,3
anurag,3
pyar,3
pyaar,3
pyaara,3
pyaari,3
pyaare,3
mohabat,3
mohabbat,3
ishq,3
isq,3
lagan,3
bhay,-2
bhayanak,-3
khauf,-3
dar,-3
darr,-3
darana,-3
darna,-3
tras,-3
dehshat,-4
deshat,-4
,
pyara,3
pyari,3
pyare,3
dara,-3
bhaybeet,-3
bhaybit,-3
krodh,-3
gussa,-3
gusa,-3
aakrosh,-3
rosh,-3
akrosh,-3
bura,-3
khalna,-3
khal,-3
dukh,-3
dukhi,-3
nazuk,-2
chintajanak,-3
chinta,-3
chintniy,-3
chintit,-3
rusht,-3
aprasann,-3
aprasan,-3
prasann,3
pasand,3
pasandita,3
khinn,-3
khafa,-2
khapha,-2
sath,2
saath,2
sahara,2
dubar,-2
dubhar,-2
ganghor,-3
kharab,-3
muskan,2
muskurahat,2
mitra,2
mitr,2
dost,2
dosti,3
jigri,3
kharaab,-3
khaarab,-3
khrab,-3
tana,-2
taana,-2
atulniya,2
atulniy,2
anupam,2
advitya,3
adwitya,3
advity,3
adwity,3
anokha,2
lajawab,3
lajavab,3
lajawaab,3
laajawab,3
laajavab,3
nirala,2
nirali,2
nyaara,3
nyara,3
apratim,3
aprateem,3
nyaraa,3
atul,2
sarvshresht,4
shresht,3
abhut,2
abut,2
asha,2
aasha,2
hasi,3
hasna,3
hansi,3
haso,3
hasya,3
hasy,3
dua,3
aashirvaad,2
aashiwaad,2
aashirwaad,2
ashirvaad,2
ashirwaad,2
ashirvad,2
ashirwad,2
prajwalit,2
khatarnak,-3
khatra,-3
khaatra,-3
khatraa,-3
khatranak,-4
kharaknaak,-4
chamak,2
buland,2
vyarth,-2
anupyogi,-2
befayda,-3
fayda,3
faayda,3
faydaa,3
akalmand,2
budhiman,2
buddhiman,2
budhimaan,2
buddhimaan,2
samajhdar,3
samajdar,3
samjdhar,3
samjdar,3
hoshiyar,3
hoshiyaar,3
fida,2
bakwas,-3
bakwaas,-3
baakwas,-3
baakvas,-3
bakvas,-3
sachcha,3
sacha,3
sachha,3
sachaa,3
sachhaa,3
khara,3
neecha,-3
nicha,-3
anuch,-2
anuchh,-2
imandar,3
imandaar,3
nishkapat,3
aashavan,3
ashavan,3
ashapurna,3
saksham,3
shamtavaan,2
shamtavan,2
priy,3
preey,3
priya,3
beparvah,-2
nirlabh,-3
labh,3
laab,3
laabh,3
lobhin,3
lobh,3
lob,3
sakriya,2
kriyashil,3
kriyasheel,3
kayar,-3
kayr,-3
hasmukh,3
hasmuk,3
hsmuk,3
raunak,3
gadar,-3
gdar,-3
labhdayak,3
labdayak,3
labhkari,3
sugam,3
avikat,2
asundar,-3
sundar,3
kurup,-3
badsurat,-3
kathinta,-2
katinta,-2
hosla,3
hausla,3
samman,3
maja,3
maza,3
jindadil,4
zindadil,4
bhagyawadi,3
nalayak,-3
naalayak,-3
nalaayak,-3
nakabil,-3
apahij,-3
apradhi,-3
apraadhi,-3
apradh,-3
aprad,-3
kasoor,-2
kasur,-2
kasoorvar,-3
doshi,-3
dosh,-3
mujrim,-4
muzrim,-4
gunegar,-3
gunehgar,-3
rok,-2
rokna,-2
mazedar,3
majedar,3
rochak,3
dusht,-3
,-3
,
takleef,-3
taklif,-3
dookh,-3
kasht,-3
klesh,-4
pareshan,-3
pareshani,-3
vyathi,-3
anand,3
aanand,3
anandpurna,3
anandmay,3
ullaspurna,3
khushi,3
anandit,3
pulkit,3
harshit,3
sushil,3
sajjan,3
dayalu,3
kripalu,3
sahriday,3
meherban,3
suprasidh,3
tarraki,3
tarakki,3
tarrakki,3
apman,-3
apmaan,-3
beizat,-4
beizatti,-4
bezat,-4
bezatti,-4
bezati,-4
anadar,-3
niradar,-3
tauheen,-3
tauheeni,-3
mahaan,3
mahan,3
sach,3
sacharitra,3
charitravan,3
sadachari,3
sadachar,3
galat,-3
galti,-3
galati,-3
anuchit,-3
anaitik,-3
prerna,3
prerit,3
sankoch,-2
nisankoch,2
aashavadi,3
ashavadi,3
durlab,-3
durlabh,-3
dikhavati,-2
banavati,-2
ruchikar,2
manpasand,3
mannpasand,3
ruchikari,3
apriya,-3
durgam,-3
anushasan,2
ramniya,3
khubsurat,3
khoobsurat,3
dilkhush,3
manohar,3
mohak,3
dilchasp,3
lubhavna,3
prabhavshali,3
dilchaspi,3
khoobsurti,3
khubsurti,3
neeras,-3
niras,-3
arochak,-3
bemaza,-3
sukhad,3
sukhadh,3
sukadh,3
sambhav,2
mumkin,2
asambhav,-2
anhoni,-2
namumkin,-2
lachar,-3
bebas,-3
majbur,-3
majboor,-3
vivash,-3
shakti,3
shaktishali,3
takat,3
takatvar,3
upyogi,3
kamyab,3
kamyabi,3
kamyb,3
honhar,3
pragati,3
pragatisheel,3
pragatishil,3
pragti,3
abhiman,-3
abhimani,-3
ghamand,-4
ghamandi,-4
gamand,-4
gamandi,-4
satya,3
asatya,-3
neech,-3
dand,-3
dandit,-3
pradhushit,-3
pradushan,-3
kushal,3
sakushal,3
kushalta,3
kushaltapurvak,3
aagrah,2
agrah,2
aadarniya,3
adarniya,3
aadar,3
adar,3
sabhya,3
sabhy,3
samadhan,2
anadar,-3
deeth,-3
deet,-3
laparva,-2
laparvai,-2
beparvah,-3
jimmedari,1
zimmedari,1
zimedari,1
jimedari,1
sadgi,3
,
aakarshan,3
akarshan,3
akarshit,3
aakarshit,3
sveekar,3
sweekar,3
swikar,3
svikar,3
asvikrut,-3
viprit,-2
mazak,3
samvedanshil,3
haani,-3
tejasvi,3
daboo,-3
tut,-3
tutna,-3
aasan,2
aasani,2
asaan,2
asaani,2
sulja,3
suljha,3
saral,2
saralta,2
sahaj,2
sahajta,2
andhadun,-3
khooni,-4
khuni,-4
krodhit,-4
krudh,-4
kadva,-2
kadwa,-2
ubaaoo,-2
bahadur,3
bahaadur,3
krur,-3
swadisht,3
niraash,-3
nirash,-3
niraasha,-3
krurta,-3
imaandar,3
imandar,3
sanki,-3
manoranjan,3
manoranjak,3
vafadaar,3
vafaadar,3
naklee,-2
nakli,-2
mashoor,2
mashhoor,2
prasiddh,3
prasidh,3
aupacharik,2
achchha,3
kritagya,3
pavitra,3
prabhavit,3
asudh,-3
sudh,3
shudh,3
ashudh,-3
dayaalu,3
dhith,-3
bhola,3
bholi,3
bhole,3
badnaam,-3
badnaami,-3
aalsi,-2
kanjus,-2
kanjoos,-2
saanskari,3
sanskari,3
saanskarik,3
beemar,-2
bimaar,-2
udaas,-3
vishwas,3
vishwasniy,3
vishwasneey,3
vishwasniya,3
suraksha,1
surakshit,1
baasii,-3
balwaan,3
balwan,3
murk,-3
murkh,-3
darpok,-3
bewafa,-4
bewafaa,-4
apavitra,-4
nishthur,-4
nisthur,-4
pareshan,-3
pareshani,-3
pareshaan,-3
pareshaani,-3
hinsa,-3
hinsak,-3
kamzor,-2
kamzori,-2
mara,-4
maara,-4
nahi,-2
nahin,-2
nhi,-2
madarchod,-5
hardik,3
badhai,3
manya,2
bhosdik,-5
bhosdike,-5
tatti,-4
saale,-3
gaddar,-3
harami,-4
mar,-4
mc,-4
bsdk,-5
chutiya,-4
chutiyaap,-3
chutiyaapa,-3
jalan,-3
pagal,-3
pagalpanti,-3
acchi,3
achi,3
chutiy,-4
veerta,3
bhenchod,-5
hatya,-5
bewakoof,-4
bewkoof,-4
bewkuf,-4
bewakuf,-4
dhamki,-3
shubh,3
bakavaas,-3
bakawaas,-3
mast,3
masti,3
mastii,3
mauj,3
kripya,3
hansii,3
vaah,3
waah,3
dhaansu,3
dhansu,3
dhaansuu,3
dhansuu,3
dhasu,3
zabardast,3
jhakaas,3
jhakas,3
jhand,-3
bavaal,-2
pakau,-2
nautanki,-3
nautanktii,-3
shana,-2
shanaa,-2
saana,-2
saanaa,-2
locha,-2
vaat,-2
waat,-2
acchaa,3
badsuurat,-3
rulaya,-3
rona,-3
ro,-3
,
